theta1;theta2;theta3;theta4;theta5;theta6;theta7;theta8;y
-0.0713515;-14.938.764;0.59745815;-0.41770934;0.31498155;-10.700.519;-15.633.567;-14.971.342;0.62526404
0.88373901;0.027981876;0.94892602;10.187.642;0.31125447;12.560.535;0.94559753;-13.189.854;0.37683645
-0.44847905;-0.94751475;-12.662.242;0.69072685;0.50203626;-10.119.485;-0.6595325;-11.106.774;11.351.477
-0.90662327;-0.14723249;-0.28089623;0.86126749;-0.59439056;0.76346047;-12.239.095;0.18785035;0.88741745
-0.8929385;10.384.792;0.79082759;-11.362.771;0.34250282;12.157.264;0.90241171;-0.099826331;0.46601327
-0.22918853;-0.96954996;-0.63915664;0.33313937;10.471.561;-0.20584408;-0.77568326;-0.17066987;13.441.938
-0.37902806;0.21493572;-12.004.137;0.75536518;0.35027565;-0.7279482;0.70092802;-0.17440831;10.074.333
0.82526422;-0.4068344;-0.044819061;0.24662562;-0.26184741;-12.635.992;-0.47527851;-0.17452203;0.81236277
0.084224076;-1.560.119;0.70828526;12.761.265;0.50184828;-0.14609317;10.642.746;10.557.551;0.58446871
-13.042.462;-11.884.058;0.65572137;0.2056606;-0.61223676;13.375.583;-0.96577055;0.35989512;0.8702878
15.674.126;0.70971984;0.0019562323;0.78575701;-11.473.617;-0.89409122;0.9035666;11.913.925;0.58425999
12.487.533;-0.366011;14.624.705;-10.375.058;-0.61253707;-0.75348705;-0.21497101;-0.77730285;0.52122202
-11.845.123;-0.30847449;-0.080024553;-1.521.214;0.088574597;-0.096783148;-0.18618583;-13.866.696;10.426.291
0.17493348;-0.90282173;-0.3710041;-0.7621634;-0.44167289;0.71061882;-0.19889709;-1.422.196;0.8528549
-0.42377231;0.16774687;0.59544078;-14.069.705;0.3872305;-0.96475621;-0.20886786;15.300.024;0.15939153
-0.35073654;13.129.634;-15.410.831;-0.18606166;-11.970.095;-0.89801631;-12.831.606;0.81488019;11.956.055
-1.201.234;0.42858738;14.481.101;-12.536.457;0.62056057;-0.7489988;0.95349152;14.890.531;0.69272769
-12.659.781;-0.40383153;0.46765658;0.63863535;-0.32619221;-0.061059077;0.067781217;0.58754522;0.8098084
0.71286766;-13.563.816;-0.36063826;-1.277.753;-0.23323602;10.808.974;-11.992.131;0.84673996;0.60346477
-0.86753878;-13.090.537;-11.149.833;0.73341353;0.70986103;-11.879.907;12.833.355;-0.25627032;11.264.575
-0.5928329;-0.69193034;0.075754084;-11.283.005;-11.345.393;14.034.904;-11.559.226;-0.011682848;0.81107379
13.893.216;0.90270106;0.85387046;-0.69360648;12.659.674;13.850.401;0.017653245;15.667.037;0.66601999
-11.304.668;0.94578989;0.20556672;10.062.508;-0.8925268;-0.83298842;13.883.847;-12.408.177;0.16067133
0.59678293;-0.56814579;-0.79203232;0.863632;0.40692487;-10.995.326;-11.678.187;-0.53153754;0.90508746
-0.97462155;-15.262.471;-0.75916994;0.90498158;-0.060898849;-0.99593113;11.419.747;11.381.542;0.99087222
-0.20037867;-0.5307344;-1.361.403;-15.661.481;0.63224943;-0.20885547;11.797.135;-0.20080303;11.605.411
0.022974055;-10.714.748;-0.88033648;11.532.746;13.497.381;-10.748.819;0.85289745;-0.82606505;10.504.132
-0.29094736;-0.6686577;10.862.226;-0.54009911;-0.39187098;-13.819.579;-0.43987739;-0.97741361;0.73385537
15.074.016;-0.65306035;0.34817918;-13.846.075;-13.973.144;-0.77201578;-0.85183699;-0.0026102489;0.22132653
10.950.623;0.73939005;-0.93969724;-13.214.585;-12.588.476;-0.49151434;-0.58664119;0.11184408;0.57695208
12.628.763;-12.120.054;-0.70516883;13.077.102;11.744.834;15.072.309;-13.607.575;10.910.499;11.722.645
0.5616837;-0.08790918;14.565.041;0.1029223;0.91615371;13.676.163;0.54391753;-0.20125735;0.35994711
-0.26791663;-0.9410331;0.1747585;-12.024.764;0.84979754;-15.061.953;-0.41273488;0.96301508;0.28333815
-0.97256636;-11.658.314;-0.22293939;-0.15578492;0.86707999;0.32972014;-0.19846652;-0.090846116;13.459.304
-0.21630768;-0.014287008;0.9776832;-13.304.892;-0.83494123;-0.16296822;0.74454418;-0.036647139;0.67822628
-0.66051887;-13.607.004;13.919.586;0.32525473;0.63711153;0.46188751;0.59054703;-0.17630119;0.24686742
10.477.574;15.028.454;-0.7916878;0.18506573;13.857.981;0.067898846;10.327.992;-0.57215495;0.81654611
10.310.845;-0.082002541;-12.519.808;0.22291916;-0.6589026;0.77777502;0.95615484;0.20680374;0.74152645
0.41286281;0.9424686;0.34674719;-13.177.742;-0.061878627;-0.10232295;0.84790161;11.490.335;0.70528018
-0.79289612;0.15956438;0.12557918;0.39659531;-0.12691079;-12.905.658;0.41813345;0.43647951;0.99175241
0.43099733;-11.215.383;-0.5410647;-0.88220492;0.15182817;-0.98401979;-0.17392956;0.29223178;0.78589652
-0.74058346;-0.13830495;1.236.346;10.992.216;0.80288442;-10.769.531;-15.529.457;12.301.933;0.59385283
0.0038858886;0.28723744;0.77328074;-10.895.073;0.93797376;15.066.037;-0.0063094508;10.373.619;0.828349
-0.66331628;-10.281.866;-0.23942031;0.99450765;0.013123861;0.25119485;0.77120996;-0.89723851;0.51830445
1.155.561;11.693.638;0.4430786;1.417.156;0.66124222;-0.46871404;-0.48551777;-0.24288656;0.85680827
0.18763412;-0.30702443;12.474.985;-14.146.745;-14.568.569;14.375.607;-13.810.736;-12.655.878;0.50022092
-0.59235426;14.771.964;-0.28240109;-0.86088572;0.17999484;-0.90582612;1.523.828;0.9894415;0.98412045
0.0091030553;-0.76680414;0.63133861;12.694.334;-0.18044583;-0.061585928;0.71398804;10.934.046;0.60887038
-0.94298964;-0.86410297;-13.918.973;0.81124675;-11.161.552;-14.907.009;-0.88698762;-14.663.998;11.949.203
0.50799229;0.60424631;-13.197.722;0.11199921;-0.77152273;-0.0080352348;-0.74371145;0.013135971;0.66761958
-10.224.892;-12.012.854;13.735.913;0.55676446;15.118.968;0.040292521;0.83889074;0.86477559;0.41543189
-0.46488361;10.125.032;15.262.201;-12.641.585;12.485.594;-13.876.056;-0.23123834;12.757.326;0.50710849
-0.1579202;-0.8658297;0.077296072;-0.1202641;-13.010.763;-14.442.792;-0.27269168;-0.13147167;0.83476123
0.48097814;-0.1425545;-15.042.822;-12.345.757;14.364.149;10.854.871;0.45458632;-11.047.273;0.71203666
0.48174648;11.217.509;10.665.344;0.70526164;-13.149.333;0.55303227;-0.12108917;-0.33958088;0.1598116
0.8288037;0.56904508;-0.6844191;0.10328733;1.020.312;-11.593.092;0.60631807;0.93795739;10.360.063
-0.11796206;0.93268978;14.804.833;-13.505.246;15.705.981;-0.35140067;-0.93868987;-0.2620568;0.64134995
-0.24343913;-0.83015231;10.696.464;-0.26075677;13.804.459;0.20308416;0.51770718;0.12426581;0.56168099
-11.278.375;-0.55685553;13.545.609;-0.017238347;0.49209838;14.658.005;-11.070.639;-0.62359969;0.52661844
0.80495439;-0.2664479;-10.165.199;-0.69837606;-11.160.108;-0.66112087;12.305.666;-0.48689141;0.70760228
11.704.253;-14.203.336;-0.66985287;-0.61630658;-14.848.034;0.35472859;1.027.863;0.66489041;0.87304188
-13.152.255;1.415.163;12.508.589;-0.43377262;-14.205.588;-0.8194632;-0.32539761;0.16808578;0.69099652
-0.74905717;-0.35344253;-0.35245113;12.201.957;0.77240689;0.024200082;0.55511342;0.72593414;0.96046348
-10.421.155;0.44315067;13.976.813;-0.48783664;0.7817341;14.653.206;-0.7388634;-11.707.443;0.19630649
-0.45623584;-0.68292554;11.409.926;0.48648138;0.46462142;0.69866563;0.6385196;-0.90460691;0.33287683
0.67195499;14.500.111;0.38057436;-12.731.219;-11.072.133;-0.80005107;-0.081602995;-15.614.873;0.38816368
-0.47805307;10.025.848;0.030585252;0.028540473;-12.811.208;-0.44171748;13.744.585;0.94867863;0.47022107
15.561.313;-10.604.639;-11.748.575;-0.98394093;0.6784865;-0.36228766;0.39375915;0.85893514;11.436.294
0.13935437;-0.96126964;-0.9202269;0.24844799;-0.65866879;-0.56219968;-14.257.179;0.50460795;11.052.736
-14.992.423;11.521.672;-0.19283292;0.48875168;0.72608987;10.206.682;-11.139.881;-13.544.164;0.80296923
0.94850184;-0.30283171;11.807.699;-0.81538137;14.465.208;12.740.674;10.940.395;0.30407523;0.39646365
10.292.799;-0.31240928;-0.24116235;-0.48752757;-11.104.684;0.15485977;-0.22037886;-0.77887631;0.61050498
14.973.256;-106.147;-0.56112627;-0.60227556;0.56014655;14.894.912;0.030228653;0.44251264;10.908.929
13.939.725;0.97873957;0.21184522;-0.2338451;-0.97007112;-14.740.847;-0.88503912;11.601.032;0.72730303
-15.029.446;0.296817;10.581.945;-0.1021701;0.88057459;-0.34261916;0.58868009;11.305.299;0.68618572
15.559.394;-0.24585931;0.51904372;12.783.853;-0.22591837;0.13906062;10.709.263;0.46351825;0.26131916
0.056499437;-0.96312267;-0.63501746;0.46965344;11.755.295;-0.15303216;0.87444096;-0.7985691;0.73648214
0.82506353;1.424.193;-0.74812389;-13.569.353;-0.35132006;0.95279822;0.35880534;-0.66697001;0.88095717
-0.14718711;0.61755526;-10.643.877;-11.897.192;1.557.867;0.98195229;-14.165.824;-0.56241986;12.203.113
-1.340.269;-0.57081828;-0.93588222;0.62588172;10.374.898;0.88600484;-15.116.445;0.46168087;13.424.423
-0.68236149;0.68116138;0.58194064;11.418.709;12.516.638;-0.06582807;-0.14980789;-0.26348415;0.60816582
15.052.708;0.31561723;0.89847309;-0.56477752;0.60894348;-0.53175131;-14.054.656;12.675.084;0.23973652
-0.15867039;15.703.312;-0.99867638;-14.643.619;-0.79574842;0.68676072;-0.024359828;-0.12546194;0.8056081
0.43890134;0.03710026;0.77555788;-0.29289817;-0.38381155;0.17600921;-10.085.834;-0.63015378;0.65753671
0.15530054;15.087.259;0.33343775;0.13616216;-10.309.951;-11.934.523;0.7720651;-0.68573093;0.59127035
-0.52724246;13.620.264;-0.5130509;13.980.234;10.906.238;0.71565904;13.204.002;14.236.666;0.63638754
10.687.718;-12.080.732;0.82528847;0.60830119;-10.788.423;-10.768.386;-0.24458117;11.953.192;0.6452021
-0.77881022;0.027686773;0.49168422;0.97568221;1.170.734;0.28834976;-14.724.769;-0.75449923;0.82609617
15.532.423;0.37587845;13.479.652;-0.82279604;0.73089789;-11.830.129;15.478.132;-14.005.758;0.49029809
-12.916.605;-0.35363455;12.262.338;0.55774463;0.57354046;0.24231856;-1.432.081;0.47546514;0.78361273
-0.53316283;0.35736985;0.46331185;-0.49845804;10.883.259;11.440.408;-12.441.841;-10.690.241;0.90718276
-10.453.584;-0.41006957;-11.258.952;10.432.506;11.416.875;13.471.563;-0.56209859;-0.31910533;12.048.732
-15.527.081;0.61496962;-11.079.804;0.68403653;-0.50628027;0.19712585;-0.42184618;-0.50456661;0.64780456
0.84489749;-0.04550247;15.346.334;15.145.038;15.220.159;-12.861.726;0.60588783;-10.924.631;0.59321578
0.19325095;-13.530.002;0.10821226;10.809.637;-14.671.354;0.59664917;12.549.983;-15.600.715;0.81586334
-0.43811988;-10.263.502;-0.25863835;-0.073425411;0.21582538;-0.081140813;0.10315795;-0.38860669;12.085.504
0.4123782;0.61679727;10.294.942;0.5850248;-11.622.742;-0.28244047;-0.38340505;0.058500695;0.63688665
0.48705554;-0.74411731;-11.833.092;-0.6731416;0.079852561;-0.03052595;-0.48206813;-0.097324146;10.935.504
-10.479.887;0.30075758;15.455.748;-0.61580942;0.62192128;-0.97004122;0.048453591;10.428.544;0.70179846
13.635.266;0.010105331;-13.539.912;-15.027.901;0.55225711;13.830.399;0.68701233;0.30815474;0.90773938
-11.270.913;0.1942981;11.663.177;10.111.553;15.206.004;0.1078397;12.632.785;-13.296.239;0.27140111
0.77993254;1.453.456;-12.366.025;-15.299.027;-0.12458843;-0.23704243;10.381.274;-0.84116124;0.86553581
-15.398.671;-0.79017606;11.987.245;0.86184829;14.846.294;-0.43269992;-0.59820021;-0.22996895;0.79507205
-0.10659627;-0.97685789;-0.071121725;-0.79959151;-15.042.684;0.39944792;-0.85444516;-0.9291515;0.58606676
-0.85574298;-0.087350408;-15.376.231;0.99879285;12.989.578;-0.062281893;-0.43977255;0.60778002;12.852.731
-0.26104328;-0.9745334;-0.089607085;11.819.326;0.65613404;-0.62142613;0.91020929;-15.004.437;0.44544464
1.450.605;1.281.299;-1.203.391;0.45028039;0.65459227;14.865.597;1.472.947;-0.3929544;0.58316327
15.598.181;-0.82466194;0.18029455;-0.23426728;-0.12511044;-0.47734902;0.069971296;-0.75686509;0.90976303
-0.727946;0.61359921;-14.264.137;-0.91450042;-10.057.325;0.82262741;10.519.265;-0.32283754;10.457.684
-12.266.692;-10.867.687;-0.24218089;-13.372.774;15.633.194;-0.25044885;-11.539.335;-0.39998776;0.89839244
-14.977.389;-0.10106472;11.698.666;-0.6673067;15.693.395;0.44024998;-11.092.513;0.41396598;0.67762025
10.836.986;10.067.941;-12.804.221;0.062055771;-0.92259368;0.83065906;-0.97572595;-11.015.158;0.41251925
-12.318.182;0.57004762;-0.1441216;-0.037410049;0.86939083;-0.35089412;0.08768602;0.23008467;11.067.183
-0.073675948;-10.672.386;-0.083827869;-0.43216425;0.30423528;-0.70803395;0.33198612;-0.26746562;11.686.622
-0.48414823;14.150.708;-14.614.892;-0.022309867;-12.304.747;0.42635998;0.22223983;0.32442811;0.34716132
-0.35433851;12.391.771;0.86347698;-11.124.119;0.51555338;-0.14062425;-0.1687702;-11.415.973;0.89832405
10.923.735;12.313.284;14.411.602;-0.68926296;0.39317782;-0.99417639;0.33740787;-11.191.387;0.68807487
0.054519505;12.658.265;-0.099836079;-13.904.924;13.703.378;10.087.177;0.23928143;-0.64957728;0.90528959
-10.357.329;-0.11972036;-0.33449481;0.30256475;0.25107218;14.842.098;0.3643713;-0.41093017;0.48907374
0.0021509921;-15.207.102;-15.450.299;-10.327.312;0.61118734;0.86824294;102.437;-12.827.572;0.69617017
-15.473.878;14.220.871;10.875.758;0.18604652;-0.78232439;-0.13870398;0.65922903;14.503.427;0.55841646
-0.84257301;-0.21915287;11.002.745;0.9991921;-0.96073079;-0.13599942;-0.73492914;0.29156198;0.76898642
1.175.128;-13.557.599;0.89992586;-15.326.368;0.78393589;13.371.376;0.78824267;-0.60225848;0.69788498
-0.81603565;-0.28483447;14.268.282;-11.082.219;-0.22901051;14.593.896;-0.10159638;0.053334146;0.47800018
10.824.104;0.57430092;0.92456752;0.616795;-0.52857195;15.465.673;14.960.931;10.330.931;0.42453349
-0.89100972;13.029.562;0.8890734;-0.78222757;0.715236;-0.38161028;-0.47116792;-0.38614597;0.89823042
0.77176668;-12.581.495;12.420.251;0.66652812;12.380.156;14.082.372;1.035.785;0.57502518;0.40411978
-0.55346483;0.34130279;-11.678.894;-0.58129761;0.55935879;-0.51701561;0.87379488;0.90919912;11.713.728
0.17245843;-0.27222079;-0.046991607;0.48425303;14.979.454;0.16387984;-10.750.869;0.20293719;10.360.416
-11.811.045;-10.559.447;-12.481.761;-10.259.455;-0.75450387;-0.84834628;14.558.387;-10.042.361;10.250.167
0.90124034;-0.40572163;14.605.902;11.364.408;-14.785.912;15.330.751;15.568.006;-15.602.348;0.54436687
15.282.708;14.342.202;-0.26529727;-0.72287625;-0.68504477;-0.94957241;-11.769.906;0.0070557146;0.74079821
-0.014509235;-0.50180728;-0.93131784;-0.84231014;0.38965722;-0.17285596;0.9281213;-0.79512537;1.038.361
11.875.074;13.013.686;-12.444.067;-0.68999636;-12.517.455;0.78306954;0.92712942;0.66297878;0.63831186
-0.10182816;0.33408529;-11.612.861;-11.502.582;11.590.817;0.91817822;-0.035367464;-0.54485422;10.474.024
0.74210419;0.94545316;0.98024202;0.97163757;-0.3306213;0.3182736;-0.65996171;0.37776794;0.64949058
0.42225197;0.055616811;0.4157124;0.31396445;0.72522594;-0.90785677;0.9871373;-0.012945734;0.71858947
-0.068934867;-14.428.737;-0.023696616;-10.751.023;-0.5071912;0.36676985;0.065878826;-0.809065;10.205.836
0.65937547;-0.42469586;0.71325022;11.971.315;-12.216.849;0.49610789;13.848.064;-11.424.275;0.55120546
-14.154.104;-0.16486067;-0.72108075;14.292.305;0.59207065;0.298432;1.523.537;0.63567505;0.79384142
-0.6632367;0.071483241;10.603.134;0.45915044;15.075.215;-13.767.879;-10.347.524;-0.76607478;0.76012863
-0.64843533;13.304.425;-15.682.681;11.898.534;-0.031604021;12.978.002;0.77350649;-1.172.198;0.92326194
-0.067618509;-11.098.343;0.080454987;-15.134.861;-0.23962706;0.050377918;0.41312153;-0.20398421;0.9430906
0.79226518;-135.003;13.221.295;0.31473619;0.1097778;-15.283.458;0.41386725;-0.88510231;0.58502247
15.311.321;-13.722.119;0.54623085;-0.67080589;0.92058282;-1.246.424;0.38068243;-0.47324385;0.79821997
0.95217517;-0.33379142;0.76809246;0.94142434;-0.1082956;-0.50869444;-12.945.987;0.70314038;0.69610955
-0.064862618;0.85204381;0.52580235;14.582.886;-11.420.735;-13.538.082;0.3508157;-0.99124286;0.52421871
-0.013374181;0.92104842;-0.14010225;-12.498.937;0.30174712;11.008.623;-0.60989258;0.04716634;10.571.889
14.148.163;14.338.339;14.959.888;0.86738604;0.93323801;13.527.371;0.55218314;10.433.354;0.40101153
0.10305292;-0.71098742;0.91841005;11.672.939;-10.409.268;-0.25437162;0.27734543;-10.317.898;0.39875179
0.99282204;10.528.361;10.729.509;-0.53770568;0.6730569;0.48385656;-0.77884853;0.29952059;0.83248063
1.361.454;15.663.848;0.34461354;11.427.659;-0.80781776;-14.061.792;0.90935102;12.110.993;0.81521701
-14.033.819;-0.31726261;-1.177.033;-12.302.034;0.97038041;0.54738442;-0.3856123;0.56698818;14.275.434
0.43734336;-0.95003098;0.21479559;-12.071.862;11.761.459;13.066.762;0.11973036;0.91980252;0.94017212
-0.89702576;15.448.228;0.37951963;-0.77252648;0.58337692;-15.677.124;-1.452.681;-0.65650124;0.23659981
0.19122203;-14.271.463;11.533.876;0.34982512;-0.094713463;-0.0044326952;1.248.294;-0.54290862;0.24862364
0.019298047;0.01123205;13.581.114;-15.507.281;0.93830042;0.89791582;0.52077447;-14.801.651;0.35373448
0.758225;0.28150882;-10.331.952;-0.43434974;-0.77989747;-0.93997414;0.17939833;11.367.613;0.74623301
11.877.639;0.080262142;-13.287.174;0.945175;-10.121.967;0.92411452;-0.7811986;15.226.253;0.67438727
10.675.134;12.225.798;-13.119.543;-14.777.884;-0.26553697;-0.4412614;-0.88910839;-0.65092445;0.78008234
0.061857385;-12.580.129;0.82244105;0.24259153;13.232.442;10.198.771;13.115.386;-10.616.523;0.58315783
-0.23009629;-0.50356893;-0.24095402;-0.55148062;0.43135884;0.54480113;-15.267.841;1.056.882;0.81275524
0.072218154;-0.03242855;-0.2013204;-10.364.446;-0.94778863;-12.700.152;-0.13171983;0.45165448;0.56133928
11.157.545;-15.311.057;-0.096671415;0.60632584;1.532.799;-11.645.041;10.076.712;0.86903258;11.400.137
0.31892867;-0.5079079;-0.55307236;-0.80813149;0.69264385;0.30158112;-0.39637554;0.56624547;11.121.948
0.67712418;-0.70076249;0.48554436;-1.160.987;-14.772.483;12.849.384;14.342.832;10.033.912;0.65487106
-15.640.903;0.11568562;-13.136.701;-0.27686392;-0.10471603;0.65150316;0.5573383;-0.073031357;10.768.147
11.809.388;-0.31766621;0.25984802;-0.55322813;-0.67037191;13.632.518;-10.444.591;0.92471415;0.60018004
-0.54344233;-14.501.276;0.45193733;10.091.097;-11.893.696;0.53735183;0.99527806;0.21181306;0.20315809
-10.253.375;0.18068145;-0.66025438;-13.518.206;0.21929842;-0.80669892;-13.424.655;0.51766809;0.42800666
-12.112.907;-12.069.807;-0.79009976;-0.051490107;0.66040332;0.92509037;0.10049762;13.775.325;13.042.058
-0.6427128;-0.46093623;0.3054417;-14.562.569;0.1516873;0.25175907;-11.134.166;-13.494.255;0.80872043
-12.785.469;0.21220311;0.19622555;0.83931447;-15.647.954;-0.41062678;12.746.942;-0.63659799;0.11150369
-0.044781369;0.79001292;-0.70948213;0.60727742;-12.435.005;0.67480288;12.658.474;0.9621052;0.49782285
13.417.761;13.765.526;12.195.046;-0.52296456;15.031.454;0.2624531;0.23256597;0.32467481;0.74926284
0.87912476;1.031.335;0.46255148;0.71085794;-1.323.471;0.25314039;0.59492791;-0.1369904;0.23699584
0.53956553;14.812.245;-13.390.748;-0.087437603;-11.007.921;0.81415874;-0.73600984;0.38973729;0.39999835
-13.000.922;0.95940514;0.54016616;0.70155996;-0.17426948;-1.211.575;14.744.489;0.094013799;0.49190113
-0.87210826;-10.729.056;-0.63017542;0.72107615;-0.98283249;0.8623557;0.18040868;-0.13118229;0.59734099
11.477.541;0.41815715;-10.495.241;-11.376.403;0.028514607;14.452.666;0.49183544;0.61721298;0.85632504
0.92385271;0.22450706;0.69131939;-0.58794426;-14.186.684;-0.19896485;0.74790885;-0.040315169;0.4120028
14.416.396;0.23731244;13.952.904;-12.702.965;11.292.495;-13.477.008;0.59189842;10.069.701;0.57789745
-14.676.134;-13.124.386;-13.430.827;0.39109121;0.93579487;0.076296979;-13.872.601;0.38713881;12.284.387
-15.352.221;-10.339.874;-0.84779613;0.85818151;10.916.202;0.55352458;12.203.614;0.40365013;0.85966451
-0.57732482;10.635.458;13.547.312;0.40484942;-0.039928169;0.83178378;-0.84472492;14.491.289;0.64853316
12.815.063;-0.64715219;-12.956.633;-0.38542969;12.280.997;-0.2972696;-0.43460368;-1.258.468;12.293.144
-0.48300146;-0.4930564;13.071.376;0.047316721;0.40748186;-10.778.615;-0.18116342;12.713.735;0.69723909
0.069816081;0.72258611;-0.094968144;0.42919059;-0.12434644;-11.952.988;-0.61032945;-11.383.477;0.87304503
-15.567.822;-0.89246472;-0.20052833;0.30945714;-0.73145361;10.984.996;-0.50712625;0.090287429;0.74732362
14.871.343;145.031;0.64928958;-14.311.984;-0.48882489;-0.65655815;-0.13003492;0.0715735;0.40956186
-0.24432338;-0.25700447;-12.828.331;1.023.581;-0.41518661;-1.499.427;10.515.467;-0.29416515;0.6216163
-0.28142479;0.2158397;0.17391942;-0.035664219;-0.56414814;0.98732928;-12.548.805;0.83309262;0.86126301
13.321.041;-0.92163869;13.825.314;0.63567247;-0.31120703;0.1507745;-12.655.988;-0.29078302;0.42946711
-14.576.831;12.118.707;0.9851995;-0.80942213;0.29525495;-11.982.523;0.80518454;11.279.913;0.70752936
-11.405.213;0.96526068;-10.869.027;-0.86155886;-13.664.153;-14.169.611;-12.445.195;-13.610.487;0.92653784
12.560.686;-0.048286174;0.78690847;-0.61924945;-0.29920282;15.483.021;0.084653107;-1.209.224;0.32386087
-0.75793752;-10.148.139;-0.53442612;0.37096116;0.98805523;0.5017482;-0.37669997;-0.46523839;13.404.791
0.50236053;-0.27049469;-0.28641887;-13.171.999;-0.21453508;0.8472428;-0.8872189;0.16243556;0.84474212
-14.276.612;-0.31971642;-0.92207137;0.62445763;0.85728937;-12.297.909;-14.893.161;0.010470871;0.77001571
0.78222734;-13.503.806;0.22300379;-0.80167408;11.184.909;-0.55759894;127.485;0.054732494;0.9574731
-0.67036373;-0.98207749;0.10474652;0.55454663;-0.81350001;-0.19456273;0.74193787;-0.59761658;0.50142254
-10.520.005;0.15150809;11.828.443;-0.84024884;-0.28347018;0.38211455;0.76856774;-0.47018325;0.4702652
-0.089764062;-14.350.934;0.065050973;-0.60319978;15.127.186;0.7837829;-0.91106523;-12.644.276;10.171.352
-0.70011018;15.337.555;0.037465551;-0.059131843;-0.64819666;0.34119689;-0.15074612;-15.022.855;0.65946995
-14.873.223;10.609.403;13.649.805;-10.856.059;0.80200429;10.894.752;-14.662.983;0.068122877;0.76958757
0.22765736;-0.45595271;13.170.996;0.59241876;-1.287.993;-15.335.342;-14.225.185;1.401.476;0.51167418
-0.22256451;-0.85275873;0.83066999;10.749.002;14.163.809;-0.48388138;-0.74888859;-10.546.143;0.71883711
0.9950581;-0.37032628;-0.16727643;-14.508.925;1.265.776;0.98905628;-13.504.194;-0.036941709;0.88820113
12.437.542;-0.57881438;0.31047621;-0.10761222;-0.96761216;0.9022223;1.508.764;11.560.418;0.46986743
-0.38130644;13.791.263;-0.011747201;0.91886771;13.675.944;-0.81750205;-11.385.517;-11.563.182;0.99317367
0.23165452;0.3056822;0.48513452;-0.65992271;12.664.655;15.693.206;-0.19750235;-0.34758227;0.58802286
0.98414046;10.966.808;12.229.366;-14.989.343;11.951.941;-1.240.212;12.414.566;15.471.869;0.49442289
-0.036608272;0.18970321;-15.447.578;-0.15726949;0.28357921;0.22490179;-12.967.388;0.60803924;0.97318576
0.47693325;-0.37470426;-0.62318976;-11.489.036;0.31979481;0.58838569;-10.616.032;-0.28532066;1.008.544
-15.273.393;12.388.003;0.11961892;-13.944.772;-0.47370346;-0.73537289;-12.607.176;-13.139.681;0.44983309
-0.037611922;11.828.752;-0.18407238;-0.6976072;-0.73832886;-0.38662686;11.613.215;15.348.043;0.69524526
-0.68344194;0.58539124;0.76421417;-0.26049629;0.19780503;-12.240.166;-0.38395169;-0.16112078;0.80435469
-0.94593572;-0.79753687;13.167.634;12.189.806;0.70410484;-0.89899878;-0.24469023;0.095962941;0.5564501
12.587.816;0.97364362;1.463.997;10.805.648;-0.48943754;-15.534.979;-0.16393854;1.212.126;0.56899176
0.857486;-0.52782617;0.44451154;-0.49432649;-12.871.369;0.13689922;-0.13834063;-10.269.799;0.54958645
12.817.708;0.68315762;0.19808086;13.672.686;0.097056707;12.194.049;-0.31237217;-0.5407341;0.32106615
